"製品品番","製品名","ProductionLine"
"4327289","BI TSｸﾘｰﾝ",
"4329102","TSｸﾘｰﾝ 18KGX1",
"4329161","ﾆｭｰﾗｲﾊﾞﾙ 18LX1",
"4335916","BI ｵｲﾙｸﾘｱ",
"4344759","BI ﾊｸﾘｵｳ",
"4384030","ｽﾋﾟｰﾄﾞｳェｲ 18LX1",
"4387548","BI ｽﾋﾟｰﾄﾞｳｪｲ",
"4387599","BI ｸﾘｽﾀﾙﾌﾟﾛ",
"4405574","ﾃﾊﾀﾞﾆﾔｻｼｲﾊﾞｽｸﾘｰﾅ18L BIB",
"4405734","ﾃﾊﾀﾞﾆﾔｻｼｲﾊﾞｽｸﾘｰﾅC 18L BIB",
"4441196","ﾃｸﾆｸﾘｰﾝ 200 EF 18LX1",
"4441209","ﾃｸﾆｸﾘｰﾝ 200 EF 200LX1",
"4441217","BI ﾃｸﾆｸﾘｰﾝ 200 EF",
"4491636","ﾀﾓｸﾃｷｼﾞｮｷﾝﾖｳｱﾜｽﾌﾟﾚ600MLx12",
"4495910","BI ﾌﾛｰﾘﾝｸﾞﾜｯｸｽ",
"T28047","ESｾﾝｼﾞｮｳｷﾖｳﾘﾝｽｻﾞｲ 2KGX8","JP3"
"4510008","BI ﾌｷﾝﾖｳｾﾝｻﾞｲ",
"T41928","ﾀﾆｺｰ　ｾﾝｻﾞｲｾｯﾄ　1X1","JP3"
"4519660","BI ★ｺﾝｸｴｺ",
"4519686","BI ﾃﾊﾀﾞﾆﾔｻｼｲﾊﾞｽｸﾘｰﾅｰ",
"4519731","BI ﾃﾊﾀﾞﾆﾔｻｼｲﾊﾞｽｸﾘｰﾅｰC",
"4520281","ｸﾞﾘｰﾝﾌﾟﾗｽﾌﾛｱｸﾘｰﾅｰ 18LX1(BIB)",
"4522359","BI ｸﾞﾘｰﾝﾌﾟﾗｽ ﾏﾙﾁｸﾘｰﾅｰ",
"4522383","BI ｸﾞﾘｰﾝﾌﾟﾗｽ ﾜｯｸｽ",
"202","BI ﾊﾟﾝｸﾘｰﾅ HG-L",
"213","BI ﾃﾞｨﾎﾞｻﾝ K",
"216","BI ﾀﾞｲｷﾚｰﾄ E40",
"217","BI ﾀﾞｲｷﾚｰﾄ ML-1",
"220","BI ﾀﾞｲｷﾚｰﾄ S35",
"226","BI ﾊﾟﾝｸﾘｰﾅ 201A",
"227","BI ﾊﾟﾝｸﾘｰﾅ CN1",
"234","BI ﾊﾟﾝｸﾘｰﾅ P52",
"236","BI ﾊﾟﾝｸﾘｰﾅ L2",
"237","BI ﾊﾟﾝｹﾚｰﾄ CA",
"242","BI ﾊﾟﾝｸﾘｰﾅ NE1",
"249","BI ﾃﾞｨﾊﾞﾌｫｰﾑ C",
"261","BI ﾀﾞｲｷﾚｰﾄ S",
"267","BI ｴﾝﾃﾞｭﾗﾏｯｸｽ",
"274","BI ﾊﾟﾝｹﾚｰﾄ UD10",
"275","BI ﾀﾞｲｷﾚｰﾄ GS",
