"RelationID","ProductID","ProductID:製品名","MaterialID","MaterialID:MaterialsName","QuantityPerUnit","UnitType"
"PM-T28052-933500","T28052","*CM ｶﾌﾟｾﾙM2 4KGX4*","933500","BTL ｸﾘｱﾏｽﾀｰｶﾌﾟｾﾙ M2 4KG","4","EA"
"PM-T28052-987690","T28052","*CM ｶﾌﾟｾﾙM2 4KGX4*","987690","CTN ｸﾘｱﾏｽﾀｰｶﾌﾟｾﾙ M2 4X4","1","EA"
"PM-T28052-941920","T28052","*CM ｶﾌﾟｾﾙM2 4KGX4*","941920","CAP DSｽｲﾖｳｾｲﾌｨﾙﾑﾅｼ","4","EA"
"PM-T40044-DB28","T40044","ELW ﾌﾞﾘｰﾁ 20LX1","DB28","BI Clax Hypo 4AL1","21.2","KG"
"PM-T40044-931740","T40044","ELW ﾌﾞﾘｰﾁ 20LX1","931740","BTL 20L NN ﾅﾁｭﾗﾙ","1","EA"
"PM-T40044-912280","T40044","ELW ﾌﾞﾘｰﾁ 20LX1","912280","LBL ELWﾌﾞﾘｰﾁ 20L","1","EA"
"PM-T40044-958958","T40044","ELW ﾌﾞﾘｰﾁ 20LX1","958958","LBL (ﾏｲﾄﾞ)ﾌｳｲﾝｼｰﾙ 白色","1","EA"
"PM-T40044-2287578","T40044","ELW ﾌﾞﾘｰﾁ 20LX1","2287578","TPL 共通ﾊﾟﾚｯﾄ積用･段ﾊﾟｯﾄ","0.03125","EA"
"PM-JB48-332007","JB48","BIｸﾘｱﾏｽﾀｰｾﾝｼﾞｮｳｷﾖｳｶﾌﾟｾﾙM2","332007","ﾗｲﾄｿｰﾀﾞ灰 25KG","0.07","KG"
"PM-JB48-342404","JB48","BIｸﾘｱﾏｽﾀｰｾﾝｼﾞｮｳｷﾖｳｶﾌﾟｾﾙM2","342404","FLEXATRAC-NTA-100(25KG)","0.28","KG"
"PM-JB48-4025993","JB48","BIｸﾘｱﾏｽﾀｰｾﾝｼﾞｮｳｷﾖｳｶﾌﾟｾﾙM2","4025993","ｱｷｭｿｰﾙ445 (ﾌﾟﾗｲﾏﾙLMW45)(1200KG","0.025","KG"
"PM-JB48-336701","JB48","BIｸﾘｱﾏｽﾀｰｾﾝｼﾞｮｳｷﾖｳｶﾌﾟｾﾙM2","336701","BINT ｲｵﾝ交換水","0.183","KG"
"PM-JB48-4261099","JB48","BIｸﾘｱﾏｽﾀｰｾﾝｼﾞｮｳｷﾖｳｶﾌﾟｾﾙM2","4261099","ｻﾝﾉﾆｯｸTN-1265▲(190KG)*33*","0.002","KG"
"PM-JB48-894224","JB48","BIｸﾘｱﾏｽﾀｰｾﾝｼﾞｮｳｷﾖｳｶﾌﾟｾﾙM2","894224","■ﾄｰｿｰﾊﾟｰﾙ ｶｾｲ (ｼｮｸﾃﾝ)","0.41","KG"
"PM-JB48-823122","JB48","BIｸﾘｱﾏｽﾀｰｾﾝｼﾞｮｳｷﾖｳｶﾌﾟｾﾙM2","823122","3号珪酸ｿｰﾀﾞT2(東曹産業)","0.03","KG"
"PM-T40253-TB13","T40253","ｳｨﾝﾀｰPA-2.5 2.5KGX4","TB13","BI DECO DETERFINE ECO SUPER","10","KG"
"PM-T40253-933510","T40253","ｳｨﾝﾀｰPA-2.5 2.5KGX4","933510","BTL ｳｨﾝﾀｰPA 2.5KG","4","EA"
"PM-T40253-987710","T40253","ｳｨﾝﾀｰPA-2.5 2.5KGX4","987710","CTN ｳｨﾝﾀｰ PA 2.5X4","1","EA"
"PM-T40253-920910","T40253","ｳｨﾝﾀｰPA-2.5 2.5KGX4","920910","CAP DSﾎﾞﾄﾙ共用_ｽｲｶｲｼ","4","EA"
"PM-T36526-JB49","T36526","ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ 2LX6","JB49","BI ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ","12","KG"
"PM-T36526-933570","T36526","ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ 2LX6","933570","BTL ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ 2L(G)","6","EA"
