"材料品番","材料名","単位","ID"
"911870","LBL MDｱﾙﾐｾﾝｼﾞｮｳﾀｲｵｳ12.5KGﾛｰﾙ","EA","2829"
"647190","BI ★ﾃﾞﾀｰｸﾘｰﾝLAM (DLAM)","KG","2830"
"932550","BTL 10Lﾍﾝﾍﾟｲﾎﾞﾄﾙ ｱｵ","EA","2831"
"900000","DRM 充填機液回収ﾄﾞﾗﾑ","EA","2832"
"911890","LBL ｶﾌﾟｾﾚｰｼｮﾝｸﾘｰﾅｰ 5Lﾛｰﾙ","EA","2833"
"987420","CTN ｶﾌﾟｾﾚｰｼｮﾝｸﾘｰﾅｰ 5LX3","EA","2834"
"932860","BTL JD 5L WEL ﾅﾁｭﾗﾙ(N)","EA","2835"
"960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","EA","2836"
"4387599","BI ｸﾘｽﾀﾙﾌﾟﾛ","KG","2837"
"822560","ﾌﾟﾘﾍﾞﾝﾄｰﾙ BP(25KG)","KG","2838"
"332122","■ｸｴﾝ酸（結晶）FG (25KG)","KG","2839"
"4277138","ﾉｲｹﾞﾝ TDS-80 (190KG)*22*","KG","2840"
"336100","I.P.A. (160KG) *4*","KG","2841"
"880873","ﾘﾌﾞﾗﾑﾙ IPA (1000KG)","KG","2842"
"894109","ｺｳﾘｮｳ AR 215696 (25KG)","KG","2843"
"338012","*ﾌﾞﾙｰ #1(ﾀﾞｲﾜ化成) (1KG)*","GM","2844"
"2283243","■*ﾀﾞｲﾜｼｮｸﾖｳｷｲﾛ4ｺﾞｳ ﾌﾝﾏﾂ(5KG","GM","2845"
"336701","BINT ｲｵﾝ交換水","KG","2846"
"332018","ﾓﾉｴﾀﾉ-ﾙｱﾐﾝ (18KG)","KG","2847"
"336013","ﾒﾁﾙﾌﾟﾛﾋﾟﾚﾝｼﾞｸﾞﾘｺｰﾙ(MFDG) ｼﾞｮｳﾋ","KG","2848"
"941710","CAP ｺﾀﾞﾏ KC60550 (UNﾎﾞﾄﾙｾﾝﾖｳ)","EA","2849"
"958958","LBL (ﾏｲﾄﾞ)ﾌｳｲﾝｼｰﾙ 白色","EA","2850"
"931740","BTL 20L NN ﾅﾁｭﾗﾙ","EA","2851"
